Item_ID	Verb	Complement	Sentence	Environment	Subject	VerbNiteID	CompNiteID
89:5	think	when she finally came to the realization that, you know, no, i can not, i can not take care of myself --n40242b	i think when she finally came to the realization that, you know, no, i can not, i can not take care of myself --n40242b.		i	sw2005_s54_2	sw2005_s54_503
118:5	think	that they, they had a great deal of, um	i think that they, they had a great deal of, um,		i	sw2005_s71_2	sw2005_s71_503
178:59	thought	--n404078 should be done --n40408b	and, uh, fortunately, we agreed, you know, on exactly, you know, what we thought --n404078 should be done --n40408b.		we	sw2005_s104_21	sw2005_s104_519
214:7	think	that when she passed away --n404c45 it was probably one of the greatest	and i think that when she passed away --n404c45 it was probably one of the greatest,		i	sw2005_s125_3	sw2005_s125_503
215:37	think	it would be	um, i, i, i think it would be,		i	sw2005_s126_14	sw2005_s126_514
236:41	think	that what one thing that they were concerned --n405458 probably was the fact it wasn't necessarily, you know, like the quantity of care but the quality of, care	and, um, i, i, i think that what one thing that they were concerned --n405458 probably was the fact it wasn't necessarily, you know, like the quantity of care but the quality of, care.		i	sw2005_s137_16	sw2005_s137_514
269:5	think	that great strides --n405d21 are being made --n405d34 nowadays in, in caring for the elderly, you know, in several, in a, in a whole lot of areas	i think that great strides --n405d21 are being made --n405d34 nowadays in, in caring for the elderly, you know, in several, in a, in a whole lot of areas.		i	sw2005_s153_2	sw2005_s153_503
313:32	think	that perhaps, perhaps the extended family, you know, that it maybe one of the solutions to a lot of things even child care	i, i, i think that perhaps, perhaps the extended family, you know, that it maybe one of the solutions to a lot of things even child care.		i	sw2005_s174_12	sw2005_s174_513
331:41	think	that, you know, we always, uh, i mean, i've, i've had a lot of good experiences with, uh, with many many people especially where they've had, uh, extended family --n40721b	but, uh, i, i, i think that, you know, we always, uh, i mean, i've, i've had a lot of good experiences with, uh, with many many people especially where they've had, uh, extended family --n40721b.		i	sw2005_s184_16	sw2005_s184_514
370:5	think	you're right	i think you're right.		i	sw2005_s203_2	sw2005_s203_503
517:9	think	that'll be good for work, too	so, i think that'll be good for work, too.		i	sw2008_s77_4	sw2008_s77_503
619:14	thought	the story was pretty good, too	and, uh, i thought the story was pretty good, too.		i	sw2010_s9_6	sw2010_s9_504
620:20	think	kevin costner did a really good job with it	i, i think kevin costner did a really good job with it.		i	sw2010_s10_7	sw2010_s10_508
632:5	think	it was the black hills of south dakota	i think it was the black hills of south dakota.		i	sw2010_s17_2	sw2010_s17_503
651:16	thought	--n400ab0 was interesting	the thing that i thought --n400ab0 was interesting was that the critics,		i	sw2010_s28_5	sw2010_s28_508
656:47	notice	that it was three hours long, and all this, kind of	uh, and i had been told --n400c27, you know, you wouldn't notice that it was three hours long, and all this, kind of,	negation	you	sw2010_s31_17	sw2010_s31_516
663:5	think	it's been nominated --n400f42 for twelve awards	i think it's been nominated --n400f42 for twelve awards		i	sw2010_s35_2	sw2010_s35_503
