Item_ID	Verb	Complement	Sentence	Environment
656:49	notice	that it was three hours long, and all this, kind of	uh, and i had been told *-1, you know, 0 you wouldn't notice that it was three hours long, and all this, kind of,	negation
677:14	admit	0 i did look at my watch after about an hour	although, i must admit 0 i did look at my watch after about an hour.	
755:169	know	0 it was going *-1 to be good	the, the difficulty with, with dancing with wolves is that when you make a movie like that *t*-2, and you produce it *t*-2, and then you star in it *t*-2, uh, the question is, did he, did he really know 0 it was going *-1 to be good	question
760:41	knew	0 it was going *-1 to be as big as it was *?*	but i, i don't think 0 he really knew 0 it was going *-1 to be as big as it was *?*.	
1050:8	realized	0 i have *-1 to behave in a certain way in order *-2 to not have people invade my privacy	but i realized 0 i have *-1 to behave in a certain way in order *-2 to not have people invade my privacy.	
1087:20	realized	0 i could go out on the street and act like a complete lunatic	but on the other hand, i realized 0 i could go out on the street and act like a complete lunatic,	
1103:44	realized	0 that's actually something that *t*-1's culturally relative	and it wasn't until i was thinking about it just now that i realized 0 that's actually something that *t*-1's culturally relative.	
1244:26	know	0 they exist	otherwise, i don't want *-1 to know 0 they exist.	
1306:8	remember	0 you, you talked about something	but i remember 0 you, you talked about something,	
1390:18	know	0 when my mother was a, you know, going into the work force *t*-1 there wasn't very many opportunities for her, i guess	i know because, i know 0 when my mother was a, you know, going into the work force *t*-1 there wasn't very many opportunities for her, i guess,	
1421:8	know	0 at least in the medical field, it seems like they've come out with a lot further advances as far as female medications and things since women have gotten into the doctor field	and i know 0 at least in the medical field, it seems like they've come out with a lot further advances as far as female medications and things since women have gotten into the doctor field.	
1635:8	know	0 she probably didn't make hardly anything, you know, compared to the work that she did *t*-1	and i know 0 she probably didn't make hardly anything, you know, compared to the work that she did *t*-1.	
1890:6	remember	0 i saw him in a huge stadium in, uh, philadelphia	i remember 0 i saw him in a huge stadium in, uh, philadelphia.	
2301:11	know	that i read anything strictly labeled * self improvement	i don't know that i read anything strictly labeled * self improvement.	negation
2470:38	know	that they're going *-1 to be there	and, and, you know, if i know that they're going *-1 to be there, you know, you, i try *-2 to really watch it and like you say, you know, really dress up	conditional
2474:12	know	0 they're not, you know	and if i know 0 they're not, you know,	conditional
2500:21	know	0 we weren't supposed *-1 to	and so, we didn't really know 0 we weren't supposed *-1 to,	
2506:11	know	0 that was a big no, no	we didn't know 0 that was a big no, no.	negation
2513:12	realized	that we weren't regulars in the warehouse there	he should have realized that we weren't regulars in the warehouse there.	
2521:48	know	0 you're not supposed *-1 to do that	he didn't at, at least say to us, did you know 0 you're not supposed *-1 to do that.	question
2641:11	know	that that would be a good environment 0 * to work in *t*-1	i don't know that that would be a good environment 0 * to work in *t*-1.	negation
2731:30	know	0 *t*-2 is going *-3 to be dressed *-4 that way	or they're meeting with people that they know 0 *t*-2 is going *-3 to be dressed *-4 that way then that's how they are *t*-1.	
2743:44	know	0 *t*-1 are going *-4 to be dressed down	if when they're meeting with the engineers who they know 0 *t*-1 are going *-4 to be dressed down *t*-5, if they come in, in, you know, a six hundred dollar three piece suit, it's going *-2 to make the people 0 they're meeting with *t*-3 feel very uncomfortable, you know,	conditional
3066:6	know	0 that's what we're supposed *-1 to do *t*-2	i know 0 that's what we're supposed *-1 to do *t*-2.	
3586:6	know	0 with	you know 0 with,	
4289:18	admit	0 i have a certain resistance to the idea of exercising for exercising's sake	and i have *-1 to admit 0 i have a certain resistance to the idea of exercising for exercising's sake,	
4425:15	realize	that they ha-, were going *-1 to reach out to people from, all over the country	and, i didn't realize that they ha-, were going *-1 to reach out to people from, all over the country.	negation
4492:34	realized	that for whole health, that, the, you know, you have *-1 to have that combination, or that people are motivated *-2 that way so that they've incorporated that into their program	now do you think 0 that's because they've realized that for whole health, that, the, you know, you have *-1 to have that combination, or that people are motivated *-2 that way so that they've incorporated that into their program.	question
4514:28	know	that they've got *-1 to get their money somewhere	from institutes of learning like that, i know that they've got *-1 to get their money somewhere,	
5238:35	know	that i had done it in the colors, that they had decorated the nursery *t*-1	and the lady said 0 she couldn't believe that they know that i had done it in the colors, that they had decorated the nursery *t*-1	
5244:21	know	0 those are the colors 0 we used *t*-1	and she said how did you know 0 those are the colors 0 we used *t*-1 *t*-2.	question
5264:18	know	0 she doesn't get *-1 to touch it	she said, 0 i know 0 she doesn't get *-1 to touch it.	
