Item_ID	Verb	Complement	Sentence	Environment	Subject	VerbNiteID	CompNiteID	VerbNiteID_duration	VerbNiteID_syllables	VerbNiteID_precedingPause	VerbNiteID_followingPause	VerbNiteID_spWindow	VerbNiteID_spWindowSyllablePosition	VerbNiteID_spWindowSyllables	VerbNiteID_spWindowSyllableDuration	VerbNiteID_spWindowTotalDuration	VerbNiteID_BreakIndex	VerbNiteID_PhraseTone	VerbNiteID_BoundaryTone	VerbNiteID_AccentStrength	VerbNiteID_AccentType
89:5	think	when she finally came to the realization that, you know, no, i can not, i can not take care of myself --n40242b	i think when she finally came to the realization that, you know, no, i can not, i can not take care of myself --n40242b.		i	sw2005_s54_2	sw2005_s54_503	0.319999999999993	1	0	0	36	8	17	4.15837500000001	4.15837500000001					
118:5	think	that they, they had a great deal of, um	i think that they, they had a great deal of, um,		i	sw2005_s71_2	sw2005_s71_503	0.266375000000011	1	0	0	53	8	16	2.75975	2.87412499999999					
178:59	thought	--n404078 should be done --n40408b	and, uh, fortunately, we agreed, you know, on exactly, you know, what we thought --n404078 should be done --n40408b.		we	sw2005_s104_21	sw2005_s104_519	0.227249999999998	1	0	0	79	8	11	1.71775	1.98349999999999					
214:7	think	that when she passed away --n404c45 it was probably one of the greatest	and i think that when she passed away --n404c45 it was probably one of the greatest,		i	sw2005_s125_3	sw2005_s125_503	0.319749999999999	1	0	0	89	2	8	2.00987500000002	2.00987500000002					
215:37	think	it would be	um, i, i, i think it would be,		i	sw2005_s126_14	sw2005_s126_514	0.112250000000017	1	0	0	92	5	15	2.92387500000001	3.24000000000001					
236:41	think	that what one thing that they were concerned --n405458 probably was the fact it wasn't necessarily, you know, like the quantity of care but the quality of, care	and, um, i, i, i think that what one thing that they were concerned --n405458 probably was the fact it wasn't necessarily, you know, like the quantity of care but the quality of, care.		i	sw2005_s137_16	sw2005_s137_514	0.168000000000006	1	0	0	103	4	7	1.50537500000002	1.76300000000003					
269:5	think	that great strides --n405d21 are being made --n405d34 nowadays in, in caring for the elderly, you know, in several, in a, in a whole lot of areas	i think that great strides --n405d21 are being made --n405d34 nowadays in, in caring for the elderly, you know, in several, in a, in a whole lot of areas.		i	sw2005_s153_2	sw2005_s153_503	0.159375000000011	1	0	0	109	2	35	5.762	5.762					
313:32	think	that perhaps, perhaps the extended family, you know, that it maybe one of the solutions to a lot of things even child care	i, i, i think that perhaps, perhaps the extended family, you know, that it maybe one of the solutions to a lot of things even child care.		i	sw2005_s174_12	sw2005_s174_513	0.22524999999996	1	0	0	137	6	18	3.50049999999999	3.67000000000002					
331:41	think	that, you know, we always, uh, i mean, i've, i've had a lot of good experiences with, uh, with many many people especially where they've had, uh, extended family --n40721b	but, uh, i, i, i think that, you know, we always, uh, i mean, i've, i've had a lot of good experiences with, uh, with many many people especially where they've had, uh, extended family --n40721b.		i	sw2005_s184_16	sw2005_s184_514	0.250374999999963	1	0	0	149	4	7	1.04874999999998	1.203125					
370:5	think	you're right	i think you're right.		i	sw2005_s203_2	sw2005_s203_503	0.122749999999996	1	0	0	133	2	4	0.633000000000038	0.633000000000038					
517:9	think	that'll be good for work, too	so, i think that'll be good for work, too.		i	sw2008_s77_4	sw2008_s77_503	0.169999999999987	1	0	0	37	3	10	1.76025000000001	1.76025000000001					
619:14	thought	the story was pretty good, too	and, uh, i thought the story was pretty good, too.		i	sw2010_s9_6	sw2010_s9_504	0.136374999999999	1	0	0	5	2	23	3.57	3.72					
620:20	think	kevin costner did a really good job with it	i, i think kevin costner did a really good job with it.		i	sw2010_s10_7	sw2010_s10_508	0.18	1	0	0	5	13	23	3.57	3.72					
632:5	think	it was the black hills of south dakota	i think it was the black hills of south dakota.		i	sw2010_s17_2	sw2010_s17_503	0.231250000000003	1	0	0	5	2	12	2.83025	2.83025					
